fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_cornynj,results_hegarm,results_mckennonk,results_collinsda,results_write_ins,results_absentee_cornynj,results_absentee_hegarm,results_absentee_mckennonk,results_absentee_collinsda,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
48157,Fort Bend,347439,318995,160,160,Released as a precinct as first report of the night,97,357514,97%,97% reported,edison,10,unknown,,267057,,,160977,178984,5359,2112,7,147461,165270,4490,1774,0,2020-12-14T16:50:38Z,5.18278,D+5,Hegar +5,democrat,hegarm,texas,2021-05-06T16:48:45.371090Z
48159,Franklin,4942,3890,9,9,Released as a precinct as first report of the night,99,5009,99%,99% reported,edison,10,unknown,,3878,,,4114,753,63,12,0,3211,628,44,7,0,2021-02-17T16:49:47Z,68.0089,R+68,Cornyn +68,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48161,Freestone,8557,6431,16,16,Released as a precinct as first report of the night,98,8711,98%,98% reported,edison,10,unknown,,7301,,,6838,1553,116,50,0,5096,1233,70,32,0,2021-02-17T16:49:58Z,61.7623,R+62,Cornyn +62,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48163,Frio,4921,3478,10,10,Released as a precinct as first report of the night,93,5279,93%,93% reported,edison,10,unknown,,2129,,,2489,2283,71,78,0,1667,1722,45,44,0,2021-02-17T16:50:08Z,4.18614,R+4,Cornyn +4,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48165,Gaines,5760,5017,9,9,Released as a precinct as first report of the night,96,5995,96%,96% reported,edison,10,unknown,,3944,,,5118,548,76,18,,4502,446,55,14,,2021-01-08T19:57:55Z,79.34028,R+79,Cornyn +79,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48167,Galveston,153386,138502,93,93,Released as a precinct as first report of the night,99,155060,99%,99% reported,edison,10,unknown,,137290,,,94317,55094,3003,969,3,85353,49947,2423,779,0,2021-02-17T16:50:26Z,25.57143,R+26,Cornyn +26,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48169,Garza,1617,1215,7,7,Released as a precinct as first report of the night,98,1653,98%,98% reported,edison,10,unknown,,1568,,,1374,225,11,7,0,1043,164,4,4,0,2021-02-17T16:50:36Z,71.05751,R+71,Cornyn +71,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48171,Gillespie,15779,12618,14,14,Released as a precinct as first report of the night,100,15846,100%,100% reported,edison,10,unknown,,13119,,,12543,2996,200,39,1,9810,2645,138,25,0,2021-02-17T16:50:49Z,60.50447,R+61,Cornyn +61,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48173,Glasscock,646,485,5,5,Released as a precinct as first report of the night,99,653,99%,99% reported,edison,10,unknown,,495,,,603,35,5,3,0,453,27,4,1,0,2021-02-17T16:50:59Z,87.9257,R+88,Cornyn +88,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48175,Goliad,3909,2848,10,10,Released as a precinct as first report of the night,98,3988,98%,98% reported,edison,10,unknown,,3358,,,3000,840,43,14,12,2164,646,25,5,8,2021-02-17T16:51:11Z,55.2571,R+55,Cornyn +55,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48177,Gonzales,7531,5937,16,16,Released as a precinct as first report of the night,98,7647,98%,98% reported,edison,10,unknown,,5788,,,5617,1782,89,42,1,4454,1401,55,27,0,2021-02-17T16:51:22Z,50.92285,R+51,Cornyn +51,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48179,Gray,7688,5688,8,8,Released as a precinct as first report of the night,99,7782,99%,99% reported,edison,10,unknown,,7277,,,6705,774,167,42,0,4974,579,103,32,0,2021-02-17T16:51:30Z,77.1462,R+77,Cornyn +77,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48181,Grayson,58974,49919,37,37,Released as a precinct as first report of the night,99,59439,99%,99% reported,edison,10,unknown,,43337,,,43735,13938,1008,293,0,37103,11859,749,208,0,2021-02-17T16:51:35Z,50.52566,R+51,Cornyn +51,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48183,Gregg,47484,42271,22,22,Released as a precinct as first report of the night,99,47982,99%,99% reported,edison,10,unknown,,51605,,,32467,14025,787,204,1,29078,12412,615,166,0,2021-02-17T16:51:43Z,38.83835,R+39,Cornyn +39,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48185,Grimes,12275,9412,15,15,Released as a precinct as first report of the night,99,12413,99%,99% reported,edison,10,unknown,,7009,,,9338,2678,199,60,,7101,2145,125,41,,2021-01-08T19:59:01Z,54.25662,R+54,Cornyn +54,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48187,Guadalupe,76981,67554,72,72,Released as a precinct as first report of the night,99,77592,99%,99% reported,edison,10,some,,55597,,,48308,26697,1545,428,3,42067,23963,1190,334,0,2021-01-08T19:59:11Z,28.07316,R+28,Cornyn +28,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48189,Hale,9376,7351,31,31,Released as a precinct as first report of the night,98,9584,98%,98% reported,edison,10,unknown,,8534,,,6999,2155,155,67,,5619,1592,104,36,,2021-02-17T17:07:14Z,51.66382,R+52,Cornyn +52,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48191,Hall,1140,793,5,5,Released as a precinct as first report of the night,98,1168,98%,98% reported,edison,10,unknown,,871,,,967,156,7,10,0,670,113,5,5,0,2021-02-17T17:07:21Z,71.14035,R+71,Cornyn +71,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48193,Hamilton,4294,3245,12,12,Released as a precinct as first report of the night,99,4349,99%,99% reported,edison,10,unknown,,3191,,,3574,594,63,45,18,2684,474,45,42,0,2021-02-17T17:07:32Z,69.39916,R+69,Cornyn +69,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48195,Hansford,2028,1348,8,8,Released as a precinct as first report of the night,99,2047,99%,99% reported,edison,10,unknown,,1429,,,1844,158,21,5,,1229,104,10,5,,2021-02-22T20:10:56Z,83.13609,R+83,Cornyn +83,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48197,Hardeman,1555,1001,4,4,Released as a precinct as first report of the night,98,1580,98%,98% reported,edison,10,unknown,,1239,,,1313,232,9,1,0,834,161,5,1,0,2021-02-17T17:07:43Z,69.51768,R+70,Cornyn +70,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48199,Hardin,27384,22582,20,20,Released as a precinct as first report of the night,99,27635,99%,99% reported,edison,10,unknown,,18988,,,23516,3388,393,87,0,19347,2900,274,61,0,2021-02-17T17:08:02Z,73.50278,R+74,Cornyn +74,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48201,Harris,1614525,1420107,1013,1013,Released as a precinct as first report of the night,98,1640818,98%,98% reported,edison,10,some,,1267589,,,718228,854158,29217,12889,33,627044,759511,23639,9883,30,2021-02-17T17:08:12Z,8.41919,D+8,Hegar +8,democrat,hegarm,texas,2021-05-06T16:48:45.371090Z
48203,Harrison,29384,25284,27,27,Released as a precinct as first report of the night,99,29710,99%,99% reported,edison,10,unknown,,29321,,,21231,7612,440,101,0,18276,6596,329,83,0,2021-02-17T17:08:09Z,46.34835,R+46,Cornyn +46,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48205,Hartley,2072,1614,7,7,Released as a precinct as first report of the night,100,2078,100%,100% reported,edison,10,unknown,,1711,,,1859,176,27,10,0,1455,135,20,4,0,2021-02-17T17:08:17Z,81.22587,R+81,Cornyn +81,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48207,Haskell,2183,1364,5,5,Released as a precinct as first report of the night,99,2214,99%,99% reported,edison,10,unknown,,1208,,,1808,347,15,13,,1117,232,8,7,,2020-11-24T13:26:52Z,66.92625,R+67,Cornyn +67,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48209,Hays,108546,97629,69,69,Released as a precinct as first report of the night,99,109357,99%,99% reported,edison,10,all,,65929,,,49539,55597,2595,814,1,44081,50806,2089,653,0,2021-01-08T20:00:53Z,5.58104,D+6,Hegar +6,democrat,hegarm,texas,2021-05-06T16:48:45.371090Z
48211,Hemphill,1693,1154,9,9,Released as a precinct as first report of the night,98,1720,98%,98% reported,edison,10,unknown,,1081,,,1465,197,22,9,0,999,139,12,4,0,2021-02-17T17:09:21Z,74.89663,R+75,Cornyn +75,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48213,Henderson,36096,29551,28,28,Released as a precinct as first report of the night,99,36310,99%,99% reported,edison,10,unknown,,26045,,,28717,6672,526,180,1,23486,5580,368,117,0,2021-02-17T17:09:31Z,61.07325,R+61,Cornyn +61,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48215,Hidalgo,209483,178958,256,256,Released as a precinct as first report of the night,95,220884,95%,95% reported,edison,10,unknown,,168180,,,84284,116962,5072,3119,46,71441,101271,3860,2353,33,2021-02-17T17:10:20Z,15.59936,D+16,Hegar +16,democrat,hegarm,texas,2021-05-06T16:48:45.371090Z
48217,Hill,14827,9572,22,22,Released as a precinct as first report of the night,99,14931,99%,99% reported,edison,10,all,,8740,,,11845,2688,196,98,,7533,1881,105,53,,2021-02-17T17:10:57Z,61.75895,R+62,Cornyn +62,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48219,Hockley,7988,6240,15,15,Released as a precinct as first report of the night,99,8095,99%,99% reported,edison,10,unknown,,6866,,,6449,1384,124,28,3,5067,1084,75,14,0,2021-02-17T17:11:49Z,63.40761,R+63,Cornyn +63,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48221,Hood,32181,25349,16,16,Released as a precinct as first report of the night,99,32541,99%,99% reported,edison,10,unknown,,23816,,,26253,5228,509,189,2,20536,4371,311,129,2,2021-02-22T20:05:28Z,65.33358,R+65,Cornyn +65,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48223,Hopkins,15647,12743,22,22,Released as a precinct as first report of the night,98,15939,98%,98% reported,edison,10,unknown,,12167,,,12497,2833,236,81,0,10171,2349,166,57,0,2021-02-17T17:11:14Z,61.76264,R+62,Cornyn +62,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48225,Houston,9334,6985,22,22,Released as a precinct as first report of the night,99,9437,99%,99% reported,edison,10,unknown,,7268,,,6984,2230,92,28,0,5159,1751,62,13,0,2021-02-17T17:11:28Z,50.93208,R+51,Cornyn +51,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48227,Howard,10051,8167,27,27,Released as a precinct as first report of the night,98,10240,98%,98% reported,edison,10,unknown,,8479,,,7854,1959,193,45,,6398,1604,139,26,,2021-02-22T19:54:41Z,58.65088,R+59,Cornyn +59,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48229,Hudspeth,1101,565,5,5,Released as a precinct as first report of the night,95,1165,95%,95% reported,edison,10,unknown,,355,,,680,383,22,15,1,362,190,9,4,0,2020-12-11T21:49:25Z,26.97548,R+27,Cornyn +27,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48231,Hunt,38058,27946,34,34,Released as a precinct as first report of the night,99,38574,99%,99% reported,edison,10,unknown,,22277,,,28888,8319,628,223,0,21024,6392,387,143,0,2021-02-17T17:12:02Z,54.04646,R+54,Cornyn +54,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48233,Hutchinson,8693,6937,9,9,Released as a precinct as first report of the night,99,8771,99%,99% reported,edison,10,unknown,,7976,,,7575,900,178,36,4,6098,698,117,24,0,2021-02-17T17:12:21Z,76.78592,R+77,Cornyn +77,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48235,Irion,880,662,5,5,Released as a precinct as first report of the night,99,889,99%,99% reported,edison,10,unknown,,640,,,760,111,9,0,,568,89,5,0,,2021-02-17T17:12:38Z,73.75,R+74,Cornyn +74,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48237,Jack,3700,2877,7,7,Released as a precinct as first report of the night,98,3782,98%,98% reported,edison,10,unknown,,2721,,,3322,319,41,17,1,2580,255,29,13,0,2021-02-17T17:12:40Z,81.16216,R+81,Cornyn +81,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48239,Jackson,6309,5059,10,10,Released as a precinct as first report of the night,100,6340,100%,100% reported,edison,10,unknown,,4125,,,5167,1021,81,26,14,4181,807,51,20,0,2021-02-17T17:12:46Z,65.71564,R+66,Cornyn +66,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
