fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_tubervillet,results_jonesd,results_write_ins,results_absentee_tubervillet,results_absentee_jonesd,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
01085,Lowndes,6819,0,13,13,Merged into voters' home precincts and released with cumulative results,100,6835,100%,100% reported,edison,10,unknown,,576,,,1766,5051,2,0,0,0,2021-03-07T03:14:27Z,48.17422,D+48,Jones +48,democrat,jonesd,alabama,2021-05-06T09:31:00.346831Z
01087,Macon,8717,0,14,14,Released as a precinct as first report of the night,100,8723,100%,100% reported,edison,10,all,,715,,,1481,7224,12,0,0,0,2021-03-07T03:14:34Z,65.88276,D+66,Jones +66,democrat,jonesd,alabama,2021-05-06T09:31:00.346831Z
01089,Madison,194082,0,73,73,Released as a precinct at the end of tabulation,100,194767,100%,100% reported,edison,10,all,,14142,,,99181,94458,443,0,0,0,2020-12-10T01:27:52Z,2.43351,R+2,Tuberville +2,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01091,Marengo,10862,0,20,20,None,100,10900,100%,100% reported,edison,10,unknown,,1014,,,5166,5687,9,0,0,0,2021-03-07T03:14:41Z,4.79654,D+5,Jones +5,democrat,jonesd,alabama,2021-05-06T09:31:00.346831Z
01093,Marion,13760,0,21,21,Merged into voters' home precincts AFTER election night,100,13807,100%,100% reported,edison,10,all,,666,,,11897,1847,16,0,0,0,2021-03-07T03:14:46Z,73.03779,R+73,Tuberville +73,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01095,Marshall,39505,0,28,28,Released as a precinct as first report of the night,100,39655,100%,100% reported,edison,10,all,,2110,,,32086,7336,83,0,0,0,2020-12-10T01:28:48Z,62.6503,R+63,Tuberville +63,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01097,Mobile,182669,0,88,88,Released as a separate subtotal as first report of the night,100,183164,100%,100% reported,edison,10,all,,11133,,,96320,86034,315,0,0,0,2021-03-07T03:14:54Z,5.63095,R+6,Tuberville +6,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01099,Monroe,10641,1257,31,31,Merged into voters' home precincts and released with cumulative results,100,10668,100%,100% reported,edison,10,unknown,,827,,,5906,4719,16,347,910,0,2021-03-07T03:14:59Z,11.15497,R+11,Tuberville +11,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01101,Montgomery,98938,0,49,49,Released as a separate subtotal as first report of the night,100,99139,100%,100% reported,edison,10,all,,7544,,,32221,66592,125,0,0,0,2021-03-07T03:15:04Z,34.73994,D+35,Jones +35,democrat,jonesd,alabama,2021-05-06T09:31:00.346831Z
01103,Morgan,53499,0,41,41,Released as a precinct in the middle of the night,100,53722,100%,100% reported,edison,10,all,,3189,,,38280,15108,111,0,0,0,2021-03-07T03:15:10Z,43.31296,R+43,Tuberville +43,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01105,Perry,5217,1203,13,13,"As a precinct in the FIRST cumulative report, along with regular precincts",100,5230,100%,100% reported,edison,10,unknown,,1059,,,1274,3943,0,129,1074,0,2021-03-07T03:15:15Z,51.15967,D+51,Jones +51,democrat,jonesd,alabama,2021-05-06T09:31:00.346831Z
01107,Pickens,9643,0,20,20,Released as a precinct as first report of the night,100,9668,100%,100% reported,edison,10,all,,456,,,5439,4193,11,0,0,0,2021-03-07T03:15:20Z,12.92129,R+13,Tuberville +13,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01109,Pike,13811,1148,35,35,Released as a precinct in the middle of the night,100,13841,100%,100% reported,edison,10,unknown,,910,,,7777,6020,14,430,718,0,2021-03-07T03:15:25Z,12.72174,R+13,Tuberville +13,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01111,Randolph,10772,0,27,27,None,99,10837,99%,99% reported,edison,10,unknown,,1038,,,8400,2362,10,0,0,0,2021-03-07T03:15:30Z,56.05273,R+56,Tuberville +56,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01113,Russell,21255,0,19,19,Released as a precinct as first report of the night,100,21329,100%,100% reported,edison,10,all,,1262,,,9383,11853,19,0,0,0,2020-12-10T01:31:01Z,11.6208,D+12,Jones +12,democrat,jonesd,alabama,2021-05-06T09:31:00.346831Z
01117,Shelby,114678,0,49,49,"As a precinct in the FIRST cumulative report, along with regular precincts",100,114950,100%,100% reported,edison,10,all,,5451,,,77836,36606,236,0,0,0,2020-12-10T01:32:11Z,35.95284,R+36,Tuberville +36,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01115,St. Clair,44346,0,31,31,None,100,44441,100%,100% reported,edison,10,all,,2192,,,35426,8844,76,0,0,0,2020-12-10T01:31:51Z,59.94227,R+60,Tuberville +60,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01119,Sumter,6258,0,13,13,Released as a separate subtotal as first report of the night,99,6291,99%,99% reported,edison,10,unknown,,795,,,1550,4705,3,0,0,0,2021-03-07T03:15:53Z,50.41547,D+50,Jones +50,democrat,jonesd,alabama,2021-05-06T09:31:00.346831Z
01121,Talladega,35625,12080,27,27,None,100,35663,100%,100% reported,edison,10,unknown,,1602,,,21726,13855,44,5723,6345,12,2021-03-07T03:16:35Z,22.09404,R+22,Tuberville +22,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01123,Tallapoosa,20943,0,28,28,Released as a precinct as first report of the night,100,20991,100%,100% reported,edison,10,unknown,,1203,,,14668,6255,20,0,0,0,2021-03-07T03:16:29Z,40.17094,R+40,Tuberville +40,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01125,Tuscaloosa,89941,0,55,55,Other,100,90172,100%,100% reported,edison,10,unknown,,4762,,,49347,40404,190,0,0,0,2021-03-07T03:16:12Z,9.94318,R+10,Tuberville +10,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01127,Walker,31059,0,46,46,None,100,31170,100%,100% reported,edison,10,unknown,,1320,,,25016,5978,65,0,0,0,2021-03-07T03:16:07Z,61.29624,R+61,Tuberville +61,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01129,Washington,8806,0,20,20,"As a precinct in the FIRST cumulative report, along with regular precincts",99,8876,99%,99% reported,edison,10,unknown,,592,,,6162,2635,9,0,0,0,2021-03-07T03:16:02Z,40.05224,R+40,Tuberville +40,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01131,Wilcox,5879,0,36,36,Released as a precinct as first report of the night,100,5903,100%,100% reported,edison,10,unknown,,931,,,1779,4095,5,0,0,0,2021-03-07T03:16:48Z,39.39445,D+39,Jones +39,democrat,jonesd,alabama,2021-05-06T09:31:00.346831Z
01133,Winston,11230,0,19,19,None,100,11284,100%,100% reported,edison,10,all,,533,,,9915,1302,13,0,0,0,2021-03-07T03:16:43Z,76.69635,R+77,Tuberville +77,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
