fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_hagertyb,results_bradshawm,results_mcleode,results_faparusiy,results_morgank,results_henleyr,results_stansberrye,results_grunauj,results_hilld,results_jamesa,results_hoopers,results_absentee_hagertyb,results_absentee_bradshawm,results_absentee_mcleode,results_absentee_faparusiy,results_absentee_morgank,results_absentee_henleyr,results_absentee_stansberrye,results_absentee_grunauj,results_absentee_hilld,results_absentee_jamesa,results_absentee_hoopers,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
47097,Lauderdale,8486,0,10,10,Released as a separate subtotal as first report of the night,95,8965,95%,95% reported,edison,10,all,,5858,,,5553,2673,33,25,38,48,16,23,23,19,35,0,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:06:14Z,33.93825,R+34,Hagerty +34,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47099,Lawrence,17469,0,24,24,Released as a separate subtotal as first report of the night,93,18718,93%,93% reported,edison,10,unknown,,8631,,,14270,2768,57,40,48,121,28,21,18,32,66,0,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:05:06Z,65.84235,R+66,Hagerty +66,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47101,Lewis,5341,0,9,9,Released as a precinct as first report of the night,95,5609,95%,95% reported,edison,10,all,,3363,,,4234,989,24,14,7,28,8,14,10,7,6,0,0,0,0,0,0,0,0,0,0,0,2020-12-16T17:49:39Z,60.75641,R+61,Hagerty +61,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47103,Lincoln,15108,0,20,20,Released as a separate subtotal as first report of the night,97,15608,97%,97% reported,edison,10,unknown,,7444,,,12019,2644,79,26,70,38,32,22,36,97,45,0,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:03:13Z,62.05322,R+62,Hagerty +62,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47105,Loudon,28652,24025,15,15,Released as a separate subtotal as first report of the night,98,29347,98%,98% reported,edison,10,all,,22705,,,21890,6061,165,74,97,73,69,24,33,121,45,18110,5397,124,56,73,57,53,20,22,78,35,2020-12-16T17:50:36Z,55.24571,R+55,Hagerty +55,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47111,Macon,8832,0,10,10,"As a precinct in the FIRST cumulative report, along with regular precincts",93,9487,93%,93% reported,edison,10,all,,5998,,,7522,1104,30,16,40,26,13,15,13,15,38,0,0,0,0,0,0,0,0,0,0,0,2020-12-16T17:51:58Z,72.66757,R+73,Hagerty +73,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47113,Madison,41706,0,33,33,Released as a separate subtotal as first report of the night,97,42950,97%,97% reported,edison,10,all,,27329,,,24065,16781,181,118,117,107,44,47,62,78,106,0,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:06:18Z,17.46511,R+17,Hagerty +17,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47115,Marion,12768,0,17,17,Merged into voters' home precincts and released with cumulative results,96,13256,96%,96% reported,edison,10,all,,6153,,,9517,2956,26,31,18,65,11,19,42,6,77,0,0,0,0,0,0,0,0,0,0,0,2020-12-16T17:53:15Z,51.38628,R+51,Hagerty +51,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47117,Marshall,14164,0,9,9,Released as a separate subtotal as first report of the night,95,14878,95%,95% reported,edison,10,all,,8159,,,10650,3154,70,28,54,45,32,27,32,23,49,0,0,0,0,0,0,0,0,0,0,0,2020-12-16T17:53:44Z,52.9229,R+53,Hagerty +53,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47119,Maury,46018,28028,21,21,Released as a separate subtotal as first report of the night,99,46657,99%,99% reported,edison,10,all,,27483,,,31516,13557,176,170,93,163,63,43,70,53,114,19173,8394,84,82,51,82,24,21,30,25,62,2020-12-16T18:10:15Z,39.02603,R+39,Hagerty +39,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47107,McMinn,22140,0,15,15,Released as a separate subtotal as first report of the night,97,22844,97%,97% reported,edison,10,all,,11950,,,17777,3908,49,55,38,78,22,43,57,12,101,0,0,0,0,0,0,0,0,0,0,0,2020-12-16T17:51:26Z,62.64228,R+63,Hagerty +63,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47109,McNairy,10944,0,16,16,Other,97,11275,97%,97% reported,edison,10,all,,5879,,,8839,1764,57,36,49,34,20,10,10,89,36,0,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:05:11Z,64.6473,R+65,Hagerty +65,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47121,Meigs,5207,0,6,6,"As a precinct in the FIRST cumulative report, along with regular precincts",94,5532,94%,94% reported,edison,10,all,,3052,,,4198,882,28,12,24,17,18,6,4,5,13,0,0,0,0,0,0,0,0,0,0,0,2020-12-16T18:09:54Z,63.6835,R+64,Hagerty +64,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47123,Monroe,20195,0,13,13,None,97,20797,97%,97% reported,edison,10,all,,12043,,,16331,3444,46,43,30,82,12,37,58,13,99,0,0,0,0,0,0,0,0,0,0,0,2020-12-16T18:09:33Z,63.81282,R+64,Hagerty +64,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47125,Montgomery,73119,0,29,29,Released as a separate subtotal as first report of the night,95,76758,95%,95% reported,edison,10,all,,43616,,,41342,28674,688,431,463,478,195,185,162,200,301,0,0,0,0,0,0,0,0,0,0,0,2020-12-16T18:46:20Z,17.32518,R+17,Hagerty +17,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47127,Moore,3446,0,5,5,Other,97,3539,97%,97% reported,edison,10,unknown,,1953,,,2827,523,19,10,13,9,6,2,9,17,11,0,0,0,0,0,0,0,0,0,0,0,2020-12-03T14:06:36Z,66.86013,R+67,Hagerty +67,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47129,Morgan,7946,0,12,12,Released as a separate subtotal as first report of the night,97,8228,97%,97% reported,edison,10,all,,3884,,,6715,1086,29,14,16,22,13,12,13,13,13,0,0,0,0,0,0,0,0,0,0,0,2020-12-16T18:11:05Z,70.84067,R+71,Hagerty +71,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47131,Obion,12863,0,12,12,None,95,13521,95%,95% reported,edison,10,unknown,,7731,,,10236,2247,24,27,12,49,108,28,34,8,90,0,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:06:23Z,62.10837,R+62,Hagerty +62,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47133,Overton,9264,0,9,9,Other,92,10037,92%,92% reported,edison,10,unknown,,5765,,,7351,1704,39,21,25,36,18,12,15,13,30,0,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:04:23Z,60.95639,R+61,Hagerty +61,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47135,Perry,3204,0,10,10,None,93,3428,93%,93% reported,edison,10,unknown,,1838,,,2617,517,8,3,9,17,9,6,2,4,12,0,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:05:17Z,65.54307,R+66,Hagerty +66,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47137,Pickett,2790,0,9,9,Released as a separate subtotal as first report of the night,95,2931,95%,95% reported,edison,10,unknown,,1656,,,2264,475,9,5,7,9,4,7,3,5,2,0,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:04:28Z,64.12186,R+64,Hagerty +64,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47139,Polk,8148,0,9,9,Merged into voters' home precincts and released with cumulative results,97,8360,97%,97% reported,edison,10,unknown,,3504,,,6620,1401,36,18,12,16,19,2,10,6,8,0,0,0,0,0,0,0,0,0,0,0,2020-12-16T14:23:16Z,64.05253,R+64,Hagerty +64,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47141,Putnam,32090,0,22,22,Released as a separate subtotal as first report of the night,96,33593,96%,96% reported,edison,10,all,,20215,,,23031,8268,154,137,114,124,43,41,43,47,88,0,0,0,0,0,0,0,0,0,0,0,2020-12-16T18:46:40Z,46.00499,R+46,Hagerty +46,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47143,Rhea,13012,0,12,12,Released as a separate subtotal as first report of the night,95,13637,95%,95% reported,edison,10,all,,7235,,,10621,2100,55,26,43,50,27,18,32,18,22,0,0,0,0,0,0,0,0,0,0,0,2020-12-16T18:14:16Z,65.48571,R+65,Hagerty +65,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47145,Roane,25311,18510,24,24,"As a precinct in the FIRST cumulative report, along with regular precincts",98,25917,98%,98% reported,edison,10,all,,17291,,,19038,5458,169,77,116,100,81,34,53,133,52,13445,4545,128,37,77,66,52,21,28,80,31,2020-12-16T18:46:53Z,53.65256,R+54,Hagerty +54,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
