fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_durbinr,results_curranm,results_maloufd,results_wilsonw,results_blackd,results_write_ins,results_absentee_durbinr,results_absentee_curranm,results_absentee_maloufd,results_absentee_wilsonw,results_absentee_blackd,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
17095,Knox,22846,0,31,31,None,99,23143,99%,99% reported,edison,10,unknown,,6554,,,10820,11349,301,172,204,0,0,0,0,0,0,0,2021-01-26T19:17:01Z,2.3155,R+2,Curran +2,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17099,LaSalle,52850,0,119,119,Merged into voters' home precincts and released with cumulative results,99,53591,99%,99% reported,edison,10,unknown,,7973,,,22851,27437,720,1442,400,0,0,0,0,0,0,0,2021-01-26T19:17:07Z,8.67739,R+9,Curran +9,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17097,Lake,332290,181754,415,415,None,99,334177,99%,99% reported,edison,10,unknown,,165277,,,187630,131344,3657,7330,2327,2,105321,70135,1541,3709,1048,0,2021-01-26T19:41:06Z,16.93882,D+17,Durbin +17,democrat,durbinr,illinois,2021-04-29T13:39:24.072007Z
17101,Lawrence,6251,0,22,22,None,98,6411,98%,98% reported,edison,10,none,,920,,,1571,4500,92,49,39,0,0,0,0,0,0,0,2021-01-26T19:07:43Z,46.8565,R+47,Curran +47,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17103,Lee,16200,0,49,49,Merged into voters' home precincts and released with cumulative results,99,16397,99%,99% reported,edison,10,unknown,,4965,,,6446,9188,209,214,142,1,0,0,0,0,0,0,2021-01-26T19:07:53Z,16.92593,R+17,Curran +17,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17105,Livingston,16933,0,47,47,None,99,17174,99%,99% reported,edison,10,unknown,,4304,,,4969,11258,264,310,132,0,0,0,0,0,0,0,2021-01-26T19:17:14Z,37.14049,R+37,Curran +37,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17107,Logan,13145,0,29,29,Merged into voters' home precincts and released with cumulative results,99,13294,99%,99% reported,edison,10,unknown,,3994,,,4366,8351,203,122,103,0,0,0,0,0,0,0,2021-01-26T19:08:01Z,30.31571,R+30,Curran +30,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17115,Macon,48949,0,72,72,Merged into voters' home precincts AFTER election night,99,49390,99%,99% reported,edison,10,unknown,,14264,,,20127,27072,743,597,410,0,0,0,0,0,0,0,2021-01-26T19:08:21Z,14.18824,R+14,Curran +14,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17117,Macoupin,23674,0,61,61,Merged into voters' home precincts and released with cumulative results,99,24022,99%,99% reported,edison,10,unknown,,3614,,,8334,14555,398,193,194,0,0,0,0,0,0,0,2021-01-26T19:08:31Z,26.27777,R+26,Curran +26,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17119,Madison,135488,0,225,225,None,99,137139,99%,99% reported,edison,10,some,,57323,,,59178,71658,2253,1106,1293,0,0,0,0,0,0,0,2021-01-07T18:27:26Z,9.21115,R+9,Curran +9,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17121,Marion,17254,0,48,48,Merged into voters' home precincts and released with cumulative results,99,17458,99%,99% reported,edison,10,some,,4072,,,5122,11718,198,90,126,0,0,0,0,0,0,0,2021-01-26T19:08:38Z,38.22882,R+38,Curran +38,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17123,Marshall,6189,0,14,14,Merged into voters' home precincts and released with cumulative results,98,6334,98%,98% reported,edison,10,unknown,,1712,,,2027,3957,96,70,39,0,0,0,0,0,0,0,2021-01-26T19:08:44Z,31.18436,R+31,Curran +31,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17125,Mason,6665,2415,21,21,Merged into voters' home precincts and released with cumulative results,99,6766,99%,99% reported,edison,10,unknown,,1229,,,2387,4075,101,48,54,0,1202,1151,29,16,17,0,2021-01-26T19:08:50Z,25.32633,R+25,Curran +25,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17127,Massac,6710,0,17,17,Merged into voters' home precincts and released with cumulative results,98,6813,98%,98% reported,edison,10,unknown,,1360,,,1857,4712,70,40,31,0,0,0,0,0,0,0,2021-01-26T19:08:56Z,42.54844,R+43,Curran +43,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
