fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_westk,results_blankenshipd,results_hawkinsh,results_kennedya,results_la_rivag,results_write_ins,results_de_la_fuenter,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_westk,results_absentee_blankenshipd,results_absentee_hawkinsh,results_absentee_kennedya,results_absentee_la_rivag,results_absentee_write_ins,results_absentee_de_la_fuenter,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
47123,Monroe,20797,0,13,13,None,100,20797,100%,100% reported,edison,10,all,,12043,,,16783,3764,150,24,37,24,3,2,2,8,0,0,0,0,0,0,0,0,0,0,2020-12-16T18:09:37Z,62.60038,R+63,Trump +63,republican,trumpd,62.60038,17093,59.6,16338,45.04,tennessee,2021-05-06T22:33:22.304595Z
47125,Montgomery,76758,0,29,29,Released as a separate subtotal as first report of the night,100,76758,100%,100% reported,edison,10,all,,43616,,,42187,32472,1439,202,138,150,62,39,1,68,0,0,0,0,0,0,0,0,0,0,2020-12-16T18:46:20Z,12.65666,R+13,Trump +13,republican,trumpd,12.65666,57620,18.5,55584,10.34,tennessee,2021-05-06T22:33:22.304595Z
47127,Moore,3539,0,5,5,Other,100,3539,100%,100% reported,edison,10,all,,1953,,,2888,573,30,25,11,5,4,2,0,1,0,0,0,0,0,0,0,0,0,0,2020-12-03T14:06:35Z,65.41396,R+65,Trump +65,republican,trumpd,65.41396,2926,62.5,2799,48.16,tennessee,2021-05-06T22:33:22.304595Z
47129,Morgan,8228,0,12,12,Released as a separate subtotal as first report of the night,100,8228,100%,100% reported,edison,10,all,,3884,,,6930,1167,91,13,7,7,4,4,0,5,0,0,0,0,0,0,0,0,0,0,2020-12-16T18:11:06Z,70.04132,R+70,Trump +70,republican,trumpd,70.04132,6705,65.4,6504,45.26,tennessee,2021-05-06T22:33:22.304595Z
47131,Obion,13521,0,12,12,None,100,13521,100%,100% reported,edison,10,unknown,,7731,,,10790,2589,68,21,27,11,8,3,0,4,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:06:23Z,60.6538,R+61,Trump +61,republican,trumpd,60.6538,12249,58,12297,44.67,tennessee,2021-05-06T22:33:22.304595Z
47133,Overton,10037,0,9,9,Other,100,10037,100%,100% reported,edison,10,unknown,,5765,,,7918,2033,47,4,17,12,4,0,0,2,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:04:23Z,58.63306,R+59,Trump +59,republican,trumpd,58.63306,8229,50,7664,25.7,tennessee,2021-05-06T22:33:22.304595Z
47135,Perry,3428,0,10,10,None,100,3428,100%,100% reported,edison,10,unknown,,1838,,,2775,615,20,3,3,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:05:17Z,63.0105,R+63,Trump +63,republican,trumpd,63.0105,2855,55,2621,22.36,tennessee,2021-05-06T22:33:22.304595Z
47137,Pickett,2931,0,9,9,Released as a separate subtotal as first report of the night,100,2931,100%,100% reported,edison,10,unknown,,1656,,,2381,525,11,7,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:04:28Z,63.3231,R+63,Trump +63,republican,trumpd,63.3231,2615,56.8,2453,40.77,tennessee,2021-05-06T22:33:22.304595Z
47139,Polk,8360,0,9,9,Merged into voters' home precincts and released with cumulative results,100,8360,100%,100% reported,edison,10,all,,3504,,,6792,1492,43,14,6,5,5,1,0,2,0,0,0,0,0,0,0,0,0,0,2020-12-16T14:23:16Z,63.39713,R+63,Trump +63,republican,trumpd,63.39713,6520,59,6059,37.17,tennessee,2021-05-06T22:33:22.304595Z
47141,Putnam,33593,0,22,22,Released as a separate subtotal as first report of the night,100,33593,100%,100% reported,edison,10,all,,20215,,,23759,9185,428,48,50,64,14,10,16,19,0,0,0,0,0,0,0,0,0,0,2020-12-16T18:46:41Z,43.38404,R+43,Trump +43,republican,trumpd,43.38404,27212,44.7,25500,37.07,tennessee,2021-05-06T22:33:22.304595Z
