fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_blankenshipd,results_hawkinsh,results_write_ins,results_de_la_fuenter,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_blankenshipd,results_absentee_hawkinsh,results_absentee_write_ins,results_absentee_de_la_fuenter,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
26141,Presque Isle,8344,0,17,17,Merged into voters' home precincts and released with cumulative results,100,8344,100%,100% reported,edison,10,all,,1106,,,2911,5342,70,10,5,2,4,0,0,0,0,0,0,0,2020-11-30T03:23:27Z,29.13471,R+29,Trump +29,republican,trumpd,29.13471,7257,28.8,7080,8.5,michigan,2021-05-08T21:24:14.670866Z
26143,Roscommon,15018,0,14,14,Merged into voters' home precincts and released with cumulative results,100,15018,100%,100% reported,edison,10,all,,3583,,,5166,9670,121,29,25,0,7,0,0,0,0,0,0,0,2020-11-30T03:23:41Z,29.99068,R+30,Trump +30,republican,trumpd,29.99068,13096,29.4,13032,3.86,michigan,2021-05-08T21:24:14.670866Z
26145,Saginaw,103349,0,85,85,None,100,103349,100%,100% reported,edison,10,all,,15042,,,51088,50785,1007,160,231,2,76,0,0,0,0,0,0,0,2020-11-30T03:23:54Z,0.29318,D+0.29,Biden +0.29,democrat,bidenj,-0.29318,94780,1.1,98062,-11.89,michigan,2021-05-08T21:24:14.670866Z
26151,Sanilac,22446,0,31,31,Merged into voters' home precincts and released with cumulative results,100,22446,100%,100% reported,edison,10,all,,2627,,,5966,16194,213,22,40,0,11,0,0,0,0,0,0,0,2020-11-30T03:24:45Z,45.56714,R+46,Trump +46,republican,trumpd,45.56714,19249,44.5,18369,20.42,michigan,2021-05-08T21:24:14.670866Z
26153,Schoolcraft,4745,0,11,11,Merged into voters' home precincts and released with cumulative results,100,4745,100%,100% reported,edison,10,all,,391,,,1589,3090,40,10,12,0,4,0,0,0,0,0,0,0,2020-11-30T03:24:59Z,31.6333,R+32,Trump +32,republican,trumpd,31.6333,4177,28.4,4048,6.84,michigan,2021-05-08T21:24:14.670866Z
26155,Shiawassee,39224,0,30,30,None,100,39224,100%,100% reported,edison,10,unknown,,5147,,,15347,23149,524,82,98,4,20,0,0,0,0,0,0,0,2021-03-07T03:34:04Z,19.89088,R+20,Trump +20,republican,trumpd,19.89088,34111,19.6,33679,-3.67,michigan,2021-05-08T21:24:14.670866Z
26147,St. Clair,92064,0,102,102,Merged into voters' home precincts and released with cumulative results,100,92064,100%,100% reported,edison,10,all,,17354,,,31363,59185,1109,134,213,1,59,0,0,0,0,0,0,0,2020-11-30T03:24:15Z,30.22028,R+30,Trump +30,republican,trumpd,30.22028,78003,31.4,74181,7.13,michigan,2021-05-08T21:24:14.670866Z
26149,St. Joseph,27936,0,28,28,Merged into voters' home precincts and released with cumulative results,100,27936,100%,100% reported,edison,10,all,,3255,,,9262,18127,416,49,63,1,18,0,0,0,0,0,0,0,2020-11-30T03:24:30Z,31.73325,R+32,Trump +32,republican,trumpd,31.73325,23967,30.7,23341,12.28,michigan,2021-05-08T21:24:14.670866Z
26157,Tuscola,29445,0,33,33,Merged into voters' home precincts and released with cumulative results,100,29445,100%,100% reported,edison,10,all,,3531,,,8712,20297,327,41,54,3,11,0,0,0,0,0,0,0,2020-11-30T03:25:29Z,39.34454,R+39,Trump +39,republican,trumpd,39.34454,25928,37.3,26003,10.83,michigan,2021-05-08T21:24:14.670866Z
26159,Van Buren,39066,0,37,37,Merged into voters' home precincts and released with cumulative results,100,39066,100%,100% reported,edison,10,all,,5135,,,16803,21591,504,60,91,3,14,0,0,0,0,0,0,0,2020-11-30T03:25:43Z,12.25618,R+12,Trump +12,republican,trumpd,12.25618,33274,13.9,32837,-0.45,michigan,2021-05-08T21:24:14.670866Z
26161,Washtenaw,216418,155454,150,150,Other,100,216418,100%,100% reported,edison,10,all,,40520,,,157136,56241,1956,195,651,138,101,125927,27855,1071,133,414,0,54,2020-11-30T03:25:58Z,46.62043,D+47,Biden +47,democrat,bidenj,-46.62043,190079,-41,179592,-35.9,michigan,2021-05-08T21:24:14.670866Z
26163,Wayne,872469,562974,1017,1017,Released separately AFTER election night,100,872469,100%,100% reported,edison,10,unknown,,172169,,,597170,264553,6567,1088,2463,86,542,426129,131315,3262,616,1379,0,273,2021-03-07T03:49:38Z,38.12365,D+38,Biden +38,democrat,bidenj,-38.12365,782719,-37.1,815825,-46.83,michigan,2021-05-08T21:24:14.670866Z
26165,Wexford,18265,0,20,20,Merged into voters' home precincts and released with cumulative results,100,18265,100%,100% reported,edison,10,all,,1764,,,5838,12102,259,20,42,0,4,0,0,0,0,0,0,0,2020-11-30T03:26:34Z,34.2951,R+34,Trump +34,republican,trumpd,34.2951,15370,36.2,14853,15.26,michigan,2021-05-08T21:24:14.670866Z
