fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
01085,Lowndes,6835,0,13,13,Merged into voters' home precincts and released with cumulative results,100,6835,100%,100% reported,edison,10,unknown,,576,,,1836,4972,26,1,0,0,0,0,2021-03-07T03:14:27Z,45.88149,D+46,Biden +46,democrat,bidenj,-45.88149,6684,-46.9,7523,-53.05,alabama,2021-04-30T10:30:20.008004Z
01087,Macon,8723,0,14,14,Released as a precinct as first report of the night,100,8723,100%,100% reported,edison,10,unknown,,715,,,1541,7108,52,22,0,0,0,0,2021-03-07T03:14:34Z,63.81979,D+64,Biden +64,democrat,bidenj,-63.81979,9140,-67.1,10396,-74.2,alabama,2021-04-30T10:30:20.008004Z
01089,Madison,194767,0,73,73,Released as a precinct at the end of tabulation,100,194767,100%,100% reported,edison,10,all,,14142,,,102780,87286,3699,1002,0,0,0,0,2020-12-10T01:27:52Z,7.95515,R+8,Trump +8,republican,trumpd,7.95515,163389,16.3,155428,18.57,alabama,2021-04-30T10:30:20.008004Z
01091,Marengo,10900,0,20,20,None,100,10900,100%,100% reported,edison,10,unknown,,1014,,,5343,5488,59,10,0,0,0,0,2021-03-07T03:14:41Z,1.33028,D+1.3,Biden +1.3,democrat,bidenj,-1.33028,10994,-3.5,11543,-7.2,alabama,2021-04-30T10:30:20.008004Z
01093,Marion,13807,0,21,21,Merged into voters' home precincts AFTER election night,100,13807,100%,100% reported,edison,10,unknown,,666,,,12205,1463,115,24,0,0,0,0,2021-03-07T03:14:46Z,77.80112,R+78,Trump +78,republican,trumpd,77.80112,12984,75.8,12129,61.41,alabama,2021-04-30T10:30:20.008004Z
01095,Marshall,39655,0,28,28,Released as a precinct as first report of the night,100,39655,100%,100% reported,edison,10,all,,2110,,,33191,5943,435,86,0,0,0,0,2020-12-10T01:28:48Z,68.71265,R+69,Trump +69,republican,trumpd,68.71265,35316,68.9,32644,59.94,alabama,2021-04-30T10:30:20.008004Z
01097,Mobile,183164,0,88,88,Released as a separate subtotal as first report of the night,100,183164,100%,100% reported,edison,10,unknown,,11133,,,101243,79474,1938,509,0,0,0,0,2021-03-07T03:14:54Z,11.88498,R+12,Trump +12,republican,trumpd,11.88498,172737,13.3,175140,9.21,alabama,2021-04-30T10:30:20.008004Z
01099,Monroe,10668,1256,31,31,Merged into voters' home precincts and released with cumulative results,100,10668,100%,100% reported,edison,10,unknown,,827,,,6147,4455,53,13,367,887,2,0,2021-03-07T03:14:59Z,15.86052,R+16,Trump +16,republican,trumpd,15.86052,10271,14.2,10717,7.72,alabama,2021-04-30T10:30:20.008004Z
01101,Montgomery,99139,0,49,49,Released as a separate subtotal as first report of the night,100,99139,100%,100% reported,edison,10,unknown,,7544,,,33311,64529,923,376,0,0,0,0,2021-03-07T03:15:04Z,31.48912,D+31,Biden +31,democrat,bidenj,-31.48912,95878,-26,102067,-24.25,alabama,2021-04-30T10:30:20.008004Z
01103,Morgan,53722,0,41,41,Released as a precinct in the middle of the night,100,53722,100%,100% reported,edison,10,unknown,,3189,,,39664,13234,705,119,0,0,0,0,2021-03-07T03:15:10Z,49.19772,R+49,Trump +49,republican,trumpd,49.19772,50644,51.8,49459,44.38,alabama,2021-04-30T10:30:20.008004Z
