fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
42111,Somerset,40543,0,50,50,Merged into voters' home precincts and released with cumulative results,100,40543,100%,100% reported,edison,10,unknown,,3224,,,8654,31466,423,0,0,0,0,0,2020-12-09T14:14:20Z,56.26619,R+56,Trump +56,republican,trumpd,56.26619,36073,55.5,33942,42.86,pennsylvania,2021-04-30T02:52:37.309689Z
42113,Sullivan,3595,0,15,15,Merged into voters' home precincts and released with cumulative results,100,3595,100%,100% reported,edison,10,unknown,,398,,,921,2619,55,0,0,0,0,0,2020-12-08T22:14:19Z,47.23227,R+47,Trump +47,republican,trumpd,47.23227,3152,48.9,2949,28.28,pennsylvania,2021-04-30T02:52:37.309689Z
42115,Susquehanna,21752,0,41,41,Merged into voters' home precincts and released with cumulative results,100,21752,100%,100% reported,edison,10,some,,1736,,,6236,15207,309,,0,0,0,,2020-12-08T22:34:51Z,41.24218,R+41,Trump +41,republican,trumpd,41.24218,19043,40.8,18044,21.42,pennsylvania,2021-04-30T02:52:37.309689Z
42117,Tioga,21075,0,41,41,Merged into voters' home precincts AFTER election night,100,21075,100%,100% reported,edison,10,unknown,,1650,,,4955,15742,378,0,0,0,0,0,2020-12-08T22:34:55Z,51.18387,R+51,Trump +51,republican,trumpd,51.18387,18507,52.5,17004,35.2,pennsylvania,2021-04-30T02:52:37.309689Z
42119,Union,20115,0,27,27,Released with cumulative results periodically election night,100,20115,100%,100% reported,edison,10,some,,1664,,,7475,12356,284,,0,0,0,,2020-11-24T13:21:49Z,24.26547,R+24,Trump +24,republican,trumpd,24.26547,17696,25.1,16268,23.28,pennsylvania,2021-04-30T02:52:37.309689Z
42121,Venango,26528,0,44,44,Released separately at end; NOT included in cumulative results,100,26528,100%,100% reported,edison,10,unknown,,2155,,,7585,18569,374,0,0,0,0,0,2020-12-09T14:18:59Z,41.40531,R+41,Trump +41,republican,trumpd,41.40531,23530,41.3,22167,26.48,pennsylvania,2021-04-30T02:52:37.309689Z
42123,Warren,20650,5031,33,33,Merged into voters' home precincts and released with cumulative results,100,20650,100%,100% reported,edison,10,unknown,,1773,,,6066,14237,347,0,3061,1883,87,0,2020-12-09T14:19:03Z,39.56901,R+40,Trump +40,republican,trumpd,39.56901,18606,39.4,17299,17.43,pennsylvania,2021-04-30T02:52:37.309689Z
42125,Washington,118478,35410,180,180,None,100,118478,100%,100% reported,edison,10,all,,7216,,,45088,72080,1310,,24463,10576,371,,2020-12-09T14:14:43Z,22.78229,R+23,Trump +23,republican,trumpd,22.78229,102267,24.5,94750,13.6,pennsylvania,2021-04-30T02:52:37.309689Z
42127,Wayne,28089,0,35,35,Merged into voters' home precincts and released with cumulative results,100,28089,100%,100% reported,edison,10,unknown,,2445,,,9191,18637,261,,0,0,0,,2020-11-24T13:21:55Z,33.62882,R+34,Trump +34,republican,trumpd,33.62882,24018,38.5,21607,20.83,pennsylvania,2021-04-30T02:52:37.309689Z
42129,Westmoreland,205183,59261,307,307,Merged into voters' home precincts and released with cumulative results,100,205183,100%,100% reported,edison,10,unknown,,13342,,,72129,130218,2350,486,39533,19119,609,0,2020-12-09T14:14:46Z,28.31082,R+28,Trump +28,republican,trumpd,28.31082,183492,31,169572,23.71,pennsylvania,2021-04-30T02:52:37.309689Z
42131,Wyoming,14858,4020,28,28,Merged into voters' home precincts and released with cumulative results,100,14858,100%,100% reported,edison,10,unknown,,1042,,,4704,9936,218,0,2463,1503,54,0,2020-12-08T22:34:59Z,35.21335,R+35,Trump +35,republican,trumpd,35.21335,13262,37.9,11872,12.85,pennsylvania,2021-04-30T02:52:37.309689Z
42133,York,238471,0,160,160,Merged into voters' home precincts AFTER election night,100,238471,100%,100% reported,edison,10,unknown,,12789,,,88114,146733,3624,0,0,0,0,0,2021-03-07T03:54:36Z,24.58119,R+25,Trump +25,republican,trumpd,24.58119,208029,28.8,189229,21.2,pennsylvania,2021-04-30T02:52:37.309689Z
