fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_carrollb,results_la_rivag,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_carrollb,results_absentee_la_rivag,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
17021,Christian,16204,0,30,30,Merged into voters' home precincts and released with cumulative results,96,16962,96%,96% reported,edison,2,unknown,,3022,,,4335,11563,210,65,23,8,0,0,0,0,0,0,0,0,2020-12-08T16:25:39Z,44.60627,R+45,Trump +45,republican,trumpd,44.60627,15477,42.3,14701,23.07,illinois,2021-01-04T11:36:42.359396Z
17023,Clark,8355,0,23,23,Released as a separate subtotal in the middle of the tabulation,97,8656,97%,97% reported,edison,4,some,,2598,,,1993,6226,95,27,9,5,0,0,0,0,0,0,0,0,2020-12-08T16:57:14Z,50.66427,R+51,Trump +51,republican,trumpd,50.66427,7928,47.2,7860,32.48,illinois,2021-01-04T11:36:42.359396Z
17025,Clay,6899,0,22,22,Merged into voters' home precincts and released with cumulative results,99,6971,99%,99% reported,edison,4,some,,965,,,1129,5629,88,26,10,4,13,0,0,0,0,0,0,0,2020-12-08T16:57:27Z,65.22684,R+65,Trump +65,republican,trumpd,65.22684,6350,63,5908,44.11,illinois,2021-01-04T11:36:42.359396Z
17027,Clinton,19214,0,40,40,Released as a precinct at the end of tabulation,100,17465,100%,100% reported,edison,4,unknown,,3803,,,4493,14304,258,77,23,15,44,0,0,0,0,0,0,0,2020-12-08T16:58:05Z,51.06173,R+51,Trump +51,republican,trumpd,51.06173,17419,48.6,16450,29.96,illinois,2021-01-04T11:36:42.359396Z
17029,Coles,22606,0,44,44,None,100,21851,100%,100% reported,edison,4,unknown,,6758,,,8067,14037,306,132,35,29,0,0,0,0,0,0,0,0,2020-12-08T16:58:32Z,26.40892,R+26,Trump +26,republican,trumpd,26.40892,21918,26,21358,11.09,illinois,2021-01-04T11:36:42.359396Z
17031,Cook,2321399,0,2869,3668,None,96,2417649,96%,96% reported,edison,2,some,,823434,,,1725973,558269,17657,12279,3085,4136,0,0,0,0,0,0,0,0,2020-11-24T15:09:20Z,50.30174,D+50,Biden +50,democrat,bidenj,-50.30174,2180344,-53.1,2011598,-49.36,illinois,2021-01-04T11:36:42.359396Z
17033,Crawford,9441,0,24,24,None,99,9574,99%,99% reported,edison,4,some,,2307,,,2202,7043,119,43,8,10,16,0,0,0,0,0,0,0,2020-12-08T16:58:44Z,51.27635,R+51,Trump +51,republican,trumpd,51.27635,8739,49,8609,31.68,illinois,2021-01-04T11:36:42.359396Z
17035,Cumberland,5850,0,12,12,Released as a separate subtotal at the end of tabulation,96,6100,96%,96% reported,edison,2,unknown,,741,,,1142,4601,63,21,3,1,19,0,0,0,0,0,0,0,2020-12-08T16:58:54Z,59.12821,R+59,Trump +59,republican,trumpd,59.12821,5571,57,5295,35.28,illinois,2021-01-04T11:36:42.359396Z
17037,DeKalb,47989,0,65,65,None,100,43345,100%,100% reported,edison,4,unknown,,11174,,,24643,21905,783,331,103,54,170,0,0,0,0,0,0,0,2020-12-08T17:43:56Z,5.70547,D+6,Biden +6,democrat,bidenj,-5.70547,43600,-3.2,41092,-5.53,illinois,2021-01-04T11:36:42.359396Z
17039,DeWitt,8024,0,23,23,Merged into voters' home precincts AFTER election night,100,7552,100%,100% reported,edison,4,unknown,,1771,,,2191,5632,139,47,12,3,0,0,0,0,0,0,0,0,2020-12-08T16:25:54Z,42.88385,R+43,Trump +43,republican,trumpd,42.88385,7556,41.9,7345,26.93,illinois,2021-01-04T11:36:42.359396Z
