fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_pierceb,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_pierceb,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
36059,Nassau,730983,0,1205,1205,Merged into voters' home precincts AFTER election night,100,732756,100%,100% reported,edison,10,all,,,,,396504,326716,3594,1924,1901,344,0,0,0,0,0,0,2020-12-15T14:17:13Z,9.54714,D+10,Biden +10,democrat,bidenj,-9.54714,647122,-6.2,568151,-7.64,new-york,2021-04-29T12:39:28.156787Z
36063,Niagara,104123,0,180,180,Merged into voters' home precincts AFTER election night,100,104080,100%,100% reported,edison,10,all,,,,,46029,56068,1133,371,479,43,0,0,0,0,0,0,2020-12-15T14:18:10Z,9.64148,R+10,Trump +10,republican,trumpd,9.64148,92402,17.8,89013,-0.84,new-york,2021-04-29T12:39:28.156787Z
36065,Oneida,101858,0,192,192,Merged into voters' home precincts AFTER election night,100,100746,100%,100% reported,edison,10,all,,,,,41973,57860,1197,396,401,31,0,0,0,0,0,0,2021-04-02T12:38:36Z,15.5972,R+16,Trump +16,republican,trumpd,15.5972,91009,19.4,86700,4.69,new-york,2021-04-29T12:39:28.156787Z
36067,Onondaga,236068,43741,428,428,Merged into voters' home precincts AFTER election night,100,234735,100%,100% reported,edison,10,all,,,,,138991,91715,2556,1820,851,135,33664,9133,384,411,149,0,2021-04-02T13:28:46Z,20.02643,D+20,Biden +20,democrat,bidenj,-20.02643,208440,-13.8,204717,-21.21,new-york,2021-04-29T12:39:28.156787Z
36069,Ontario,59142,0,92,92,Merged into voters' home precincts AFTER election night,99,59674,99%,99% reported,edison,10,all,,,,,28749,28782,984,275,316,36,0,0,0,0,0,0,2021-04-02T13:08:44Z,0.0558,R+0.06,Trump +0.06,republican,trumpd,0.0558,52527,7.2,47853,1.53,new-york,2021-04-29T12:39:28.156787Z
36071,Orange,172539,0,330,330,Merged into voters' home precincts AFTER election night,100,172099,100%,100% reported,edison,10,all,,,,,84955,85068,1389,527,507,93,0,0,0,0,0,0,2021-04-02T13:51:41Z,0.06549,R+0.07,Trump +0.07,republican,trumpd,0.06549,152021,5.5,140628,-5.65,new-york,2021-04-29T12:39:28.156787Z
36073,Orleans,18154,0,40,40,Merged into voters' home precincts AFTER election night,100,18154,100%,100% reported,edison,10,unknown,,,,,5587,12126,313,50,71,7,0,0,0,0,0,0,2020-12-04T16:42:50Z,36.01961,R+36,Trump +36,republican,trumpd,36.01961,16380,39.5,14706,19.09,new-york,2021-04-29T12:39:28.156787Z
36075,Oswego,54498,9118,110,110,Merged into voters' home precincts AFTER election night,100,54491,100%,100% reported,edison,10,all,,,,,21145,32142,698,284,207,22,6147,2763,97,69,42,0,2021-04-02T12:56:16Z,20.17872,R+20,Trump +20,republican,trumpd,20.17872,48180,22,44591,-7.93,new-york,2021-04-29T12:39:28.156787Z
36077,Otsego,28010,0,49,49,Merged into voters' home precincts AFTER election night,100,28008,100%,100% reported,edison,10,all,,,,,12975,14382,409,136,96,12,0,0,0,0,0,0,2020-12-15T14:37:19Z,5.02321,R+5,Trump +5,republican,trumpd,5.02321,25668,11.1,24139,-2.72,new-york,2021-04-29T12:39:28.156787Z
36079,Putnam,54991,4238,86,86,Merged into voters' home precincts AFTER election night,100,54989,100%,100% reported,edison,10,all,,,,,24955,29283,411,162,155,25,3160,989,37,21,15,16,2021-04-02T14:00:51Z,7.87038,R+8,Trump +8,republican,trumpd,7.87038,48563,15.8,44345,10.31,new-york,2021-04-29T12:39:28.156787Z
