fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_blankenshipd,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_blankenshipd,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
29073,Gasconade,7934,804,17,18,Released as a precinct as first report of the night,100,7806,100%,100% reported,edison,4,all,,746,,,6222,1601,83,10,7,11,479,318,3,2,2,0,2020-11-24T13:22:53Z,58.243,R+58,Trump +58,republican,trumpd,58.243,7451,55.7,7134,39.19,missouri,2020-12-09T08:27:51.293878Z
29075,Gentry,3239,0,11,11,Released as a precinct as first report of the night,100,3239,100%,100% reported,edison,6,all,,422,,,2580,613,34,1,6,5,0,0,0,0,0,0,2020-11-24T13:22:54Z,60.72862,R+61,Trump +61,republican,trumpd,60.72862,3043,55.8,2999,35.05,missouri,2020-12-09T08:27:51.293878Z
29077,Greene,142272,29484,78,78,Released separately AFTER election night,100,138074,100%,100% reported,edison,6,all,,15946,,,83630,55068,2454,432,164,524,13318,15823,185,53,27,78,2020-11-24T13:22:56Z,20.07563,R+20,Trump +20,republican,trumpd,20.07563,130523,27.1,125848,24.38,missouri,2020-12-09T08:27:51.293878Z
29079,Grundy,4437,0,8,9,None,96,4639,96%,96% reported,edison,2,unknown,,150,,,3585,799,42,8,3,,0,0,0,0,0,,2020-11-24T13:22:57Z,62.79017,R+63,Trump +63,republican,trumpd,62.79017,4428,60.6,4374,41.56,missouri,2020-12-09T08:27:51.293878Z
29081,Harrison,3825,0,7,7,"As a precinct in the FIRST cumulative report, along with regular precincts",99,3872,99%,99% reported,edison,4,all,,706,,,3198,597,22,7,1,0,0,0,0,0,0,0,2020-11-24T13:22:58Z,68,R+68,Trump +68,republican,trumpd,68,3689,64.8,3695,44.38,missouri,2020-12-09T08:27:51.293878Z
29083,Henry,10788,0,10,10,Released as a precinct as first report of the night,100,10605,100%,100% reported,edison,2,unknown,,1635,,,8027,2619,114,17,11,,0,0,0,0,0,,2020-12-08T21:30:48Z,50.12977,R+50,Trump +50,republican,trumpd,50.12977,9912,47.6,10123,25.91,missouri,2020-12-09T08:27:51.293878Z
29085,Hickory,5080,0,7,7,Released as a precinct as first report of the night,100,4949,100%,100% reported,edison,2,unknown,,1836,,,3965,1054,39,13,6,3,0,0,0,0,0,0,2020-11-24T13:23:00Z,57.30315,R+57,Trump +57,republican,trumpd,57.30315,4761,53.1,4680,23.55,missouri,2020-12-09T08:27:51.293878Z
29087,Holt,2344,0,5,5,Released as a precinct as first report of the night,95,2468,95%,95% reported,edison,2,unknown,,312,,,1976,338,23,5,1,1,0,0,0,0,0,0,2020-11-24T13:23:00Z,69.88055,R+70,Trump +70,republican,trumpd,69.88055,2355,67,2310,50.82,missouri,2020-12-09T08:27:51.293878Z
29089,Howard,5091,0,8,8,Released as a precinct as first report of the night,100,5089,100%,100% reported,edison,6,unknown,,624,,,3553,1413,106,14,5,,0,0,0,0,0,,2020-12-08T21:31:01Z,42.03496,R+42,Trump +42,republican,trumpd,42.03496,4868,41,4867,26.59,missouri,2020-12-09T08:27:51.293878Z
29091,Howell,18648,0,20,21,Released as a precinct as first report of the night,100,18287,100%,100% reported,edison,2,unknown,,2469,,,15181,3218,197,31,21,,0,0,0,0,0,,2020-12-08T21:31:01Z,64.15165,R+64,Trump +64,republican,trumpd,64.15165,17455,63.1,16346,43.74,missouri,2020-12-09T08:27:51.293878Z
