fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_westk,results_blankenshipd,results_hammonsb,results_charlesm,results_carrollb,results_kopitkek,results_la_rivag,results_de_la_fuenter,results_mchughj,results_pierceb,results_collinsp,results_jacob_fambrop,results_hunterd,results_huberb,results_kennedya,results_scottj,results_kishorej,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_westk,results_absentee_blankenshipd,results_absentee_hammonsb,results_absentee_charlesm,results_absentee_carrollb,results_absentee_kopitkek,results_absentee_la_rivag,results_absentee_de_la_fuenter,results_absentee_mchughj,results_absentee_pierceb,results_absentee_collinsp,results_absentee_jacob_fambrop,results_absentee_hunterd,results_absentee_huberb,results_absentee_kennedya,results_absentee_scottj,results_absentee_kishorej,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
08001,Adams,236740,0,260,260,Other,100,236740,100%,100% reported,edison,10,unknown,,,,,134202,95657,3731,744,729,455,264,197,160,102,90,72,60,51,46,40,38,37,24,23,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-12T19:37:51Z,16.28157,D+16,Biden +16,democrat,bidenj,-16.28157,193677,-8.5,176230,-16.84,colorado,2021-05-04T08:35:37.802389Z
08003,Alamosa,7808,0,8,8,Other,100,7808,100%,100% reported,edison,10,unknown,,,,,3759,3813,90,23,48,22,6,11,7,3,3,5,4,3,2,0,1,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-06T15:48:12Z,0.6916,R+0.69,Trump +0.69,republican,trumpd,0.6916,6939,-2.1,6715,-16.47,colorado,2021-05-04T08:35:37.802389Z
08005,Arapahoe,350183,0,390,390,Other,100,350183,100%,100% reported,edison,10,unknown,,,,,213607,127323,5423,926,908,503,328,189,297,94,118,67,58,45,63,65,45,41,41,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-26T18:19:44Z,24.63969,D+25,Biden +25,democrat,bidenj,-24.63969,303048,-14.1,285516,-9.92,colorado,2021-05-04T08:35:37.802389Z
08007,Archuleta,9144,0,8,8,Other,100,9144,100%,100% reported,edison,10,all,,,,,3738,5189,120,19,20,20,9,6,7,2,2,0,2,5,1,3,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2021-01-12T19:31:30Z,15.86833,R+16,Trump +16,republican,trumpd,15.86833,7339,24,6734,17.72,colorado,2021-05-04T08:35:37.802389Z
08009,Baca,2225,0,9,9,Other,100,2225,100%,100% reported,edison,10,unknown,,,,,317,1867,26,3,4,2,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-06T15:44:54Z,69.66292,R+70,Trump +70,republican,trumpd,69.66292,2153,68.3,2106,51.85,colorado,2021-05-04T08:35:37.802389Z
08011,Bent,2274,0,5,5,Other,100,2274,100%,100% reported,edison,10,unknown,,,,,732,1503,15,6,7,5,0,0,0,0,0,3,0,1,0,0,0,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-24T13:22:52Z,33.90501,R+34,Trump +34,republican,trumpd,33.90501,1927,31,1942,13.39,colorado,2021-05-04T08:35:37.802389Z
08013,Boulder,206111,0,240,240,Other,100,206111,100%,100% reported,edison,10,unknown,,,,,159089,42501,2539,697,391,219,122,75,143,22,103,23,20,33,19,24,26,22,24,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-12T19:31:39Z,56.56564,D+57,Biden +57,democrat,bidenj,-56.56564,188145,-48.3,179499,-41.84,colorado,2021-05-04T08:35:37.802389Z
08014,Broomfield,46632,0,37,37,Other,100,46632,100%,100% reported,edison,10,all,,,,,29077,16295,772,104,106,74,46,23,50,10,14,8,13,13,6,2,5,2,7,4,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-24T13:22:35Z,27.41036,D+27,Biden +27,democrat,bidenj,-27.41036,37690,-14.2,32777,-5.97,colorado,2021-05-04T08:35:37.802389Z
08015,Chaffee,13718,0,9,9,Other,100,13718,100%,100% reported,edison,10,unknown,,,,,7160,6222,189,46,22,20,10,11,14,3,2,2,3,1,3,4,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-12T19:20:37Z,6.83773,D+7,Biden +7,democrat,bidenj,-6.83773,11250,4.5,10462,-0.15,colorado,2021-05-04T08:35:37.802389Z
08017,Cheyenne,1136,0,5,5,Other,100,1136,100%,100% reported,edison,10,unknown,,,,,131,993,6,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-06T15:45:01Z,75.88028,R+76,Trump +76,republican,trumpd,75.88028,1102,72,1093,65.6,colorado,2021-05-04T08:35:37.802389Z
08019,Clear Creek,6548,0,9,9,Other,100,6548,100%,100% reported,edison,10,unknown,,,,,3604,2754,113,23,10,10,3,7,5,1,2,2,3,0,3,1,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-06T15:45:10Z,12.98106,D+13,Biden +13,democrat,bidenj,-12.98106,5866,-2.6,5743,-12,colorado,2021-05-04T08:35:37.802389Z
08021,Conejos,4333,0,10,10,Other,100,4333,100%,100% reported,edison,10,unknown,,,,,1959,2286,34,9,10,15,1,5,2,0,2,4,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-06T15:45:12Z,7.54673,R+8,Trump +8,republican,trumpd,7.54673,4022,3.6,4101,-9.22,colorado,2021-05-04T08:35:37.802389Z
08023,Costilla,2094,0,8,8,Other,100,2094,100%,100% reported,edison,10,unknown,,,,,1311,741,15,4,5,8,2,2,0,1,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-06T15:48:19Z,27.22063,D+27,Biden +27,democrat,bidenj,-27.22063,1848,-29.1,1837,-48.67,colorado,2021-05-04T08:35:37.802389Z
08025,Crowley,1750,0,6,6,Other,100,1750,100%,100% reported,edison,10,all,,,,,437,1271,22,0,8,3,3,2,0,0,0,0,1,0,1,2,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-24T13:23:00Z,47.65714,R+48,Trump +48,republican,trumpd,47.65714,1527,48.5,1502,25.9,colorado,2021-05-04T08:35:37.802389Z
08027,Custer,3635,0,3,3,Other,100,3635,100%,100% reported,edison,10,all,,,,,1112,2474,29,5,0,5,4,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-12T19:20:48Z,37.46905,R+37,Trump +37,republican,trumpd,37.46905,3066,41.2,2715,33.89,colorado,2021-05-04T08:35:37.802389Z
08029,Delta,19370,0,20,20,Other,100,19370,100%,100% reported,edison,10,unknown,,,,,5887,13081,218,45,32,34,11,12,6,7,2,3,4,5,5,2,4,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-12T19:31:46Z,37.13991,R+37,Trump +37,republican,trumpd,37.13991,16790,45.1,15925,39.52,colorado,2021-05-04T08:35:37.802389Z
08031,Denver,393829,0,356,356,Other,100,393829,100%,100% reported,edison,10,unknown,,,,,313293,71618,4870,1230,976,314,222,181,242,70,287,60,34,60,63,87,49,55,61,16,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-12T19:38:00Z,61.36547,D+61,Biden +61,democrat,bidenj,-61.36547,331852,-54.8,301694,-49.36,colorado,2021-05-04T08:35:37.802389Z
08033,Dolores,1449,0,4,4,Other,100,1449,100%,100% reported,edison,10,all,,,,,341,1089,5,1,3,5,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2021-01-12T19:29:04Z,51.62181,R+52,Trump +52,republican,trumpd,51.62181,1255,55.9,1245,42.17,colorado,2021-05-04T08:35:37.802389Z
08035,Douglas,231601,0,169,169,Other,100,231601,100%,100% reported,edison,10,unknown,,,,,104653,121270,3715,432,476,303,209,76,199,38,30,32,38,39,21,20,10,14,10,9,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-26T18:20:55Z,7.17484,R+7,Trump +7,republican,trumpd,7.17484,187500,18.1,168084,25.76,colorado,2021-05-04T08:35:37.802389Z
08037,Eagle,29140,0,30,30,Other,100,29140,100%,100% reported,edison,10,unknown,,,,,18588,9892,377,78,79,34,32,16,10,5,3,3,3,6,3,1,3,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-06T15:45:29Z,29.84214,D+30,Biden +30,democrat,bidenj,-29.84214,25223,-20.3,22668,-14.92,colorado,2021-05-04T08:35:37.802389Z
