fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_venturaj,results_write_ins,results_blankenshipd,results_pierceb,results_de_la_fuenter,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_venturaj,results_absentee_write_ins,results_absentee_blankenshipd,results_absentee_pierceb,results_absentee_de_la_fuenter,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,state,retrieved_time
02937,ED 37,5168,1781,35,35,Released as a separate subtotal as first report of the night,100,5168,100%,100% reported,edison,10,unknown,,4000,,,2358,2560,86,56,26,51,17,14,728,986,33,17,5,12,0,0,2021-01-26T16:12:47Z,3.90867,D+4,Biden +4,democrat,bidenj,-3.90867,5062,-9.5,alaska,2021-05-02T23:31:37.538010Z
02938,ED 38,5336,1298,31,31,Released as a separate subtotal as first report of the night,100,5336,100%,100% reported,edison,10,unknown,,4000,,,1737,3202,105,112,37,52,61,30,331,921,22,10,0,4,8,2,2021-01-26T16:12:51Z,27.45502,D+27,Biden +27,democrat,bidenj,-27.45502,5095,-31.7,alaska,2021-05-02T23:31:37.538010Z
02939,ED 39,5930,1125,33,33,Released as a separate subtotal as first report of the night,100,5930,100%,100% reported,edison,10,unknown,,4000,,,1939,3580,123,104,39,80,45,20,360,708,27,12,5,9,3,1,2021-01-26T16:12:56Z,27.67285,D+28,Biden +28,democrat,bidenj,-27.67285,5639,-30.8,alaska,2021-05-02T23:31:37.538010Z
02904,ED 4,10587,5630,7,7,Released as a separate subtotal as first report of the night,100,10587,100%,100% reported,edison,10,all,,4000,,,4690,5345,323,93,76,27,29,4,1750,3653,145,34,31,7,10,0,2020-12-01T17:28:55Z,6.18683,D+6,Biden +6,democrat,bidenj,-6.18683,9521,-1,alaska,2021-05-02T23:31:37.538010Z
02940,ED 40,4628,1135,23,23,Released as a separate subtotal as first report of the night,100,4628,100%,100% reported,edison,10,unknown,,4000,,,1994,2318,94,86,25,47,39,25,389,699,16,18,4,5,2,2,2021-01-26T16:13:00Z,7.00086,D+7,Biden +7,democrat,bidenj,-7.00086,4610,-20.8,alaska,2021-05-02T23:31:37.538010Z
02905,ED 5,8706,4534,9,9,Released as a separate subtotal as first report of the night,100,8706,100%,100% reported,edison,10,all,,4000,,,4077,4204,259,68,52,21,17,8,1497,2856,116,26,22,8,5,4,2020-12-01T17:31:02Z,1.45876,D+1.5,Biden +1.5,democrat,bidenj,-1.45876,7906,6.3,alaska,2021-05-02T23:31:37.538010Z
02906,ED 6,9518,3689,33,33,Released as a separate subtotal as first report of the night,100,9518,100%,100% reported,edison,10,all,,4000,,,5770,3272,266,83,58,33,31,5,1869,1666,86,25,22,12,8,1,2020-12-01T17:33:59Z,26.24501,R+26,Trump +26,republican,trumpd,26.24501,8460,28.3,alaska,2021-05-02T23:31:37.538010Z
02907,ED 7,9664,5640,7,7,Released as a separate subtotal as first report of the night,100,9664,100%,100% reported,edison,10,all,,4000,,,7027,2215,272,54,42,36,13,5,3777,1646,135,26,20,23,9,4,2020-12-02T14:53:36Z,49.79305,R+50,Trump +50,republican,trumpd,49.79305,8294,53.4,alaska,2021-05-02T23:31:37.538010Z
02908,ED 8,9957,4460,6,6,Released as a separate subtotal as first report of the night,100,9957,100%,100% reported,edison,10,all,,4000,,,7618,1953,241,48,45,28,18,6,2995,1327,83,18,22,9,4,2,2020-12-02T14:55:48Z,56.89465,R+57,Trump +57,republican,trumpd,56.89465,8073,60.8,alaska,2021-05-02T23:31:37.538010Z
02909,ED 9,11047,4956,11,11,Released as a separate subtotal as first report of the night,100,11047,100%,100% reported,edison,10,all,,4000,,,7787,2769,301,77,54,39,16,4,3002,1761,106,38,23,19,4,3,2020-12-02T14:59:20Z,45.4241,R+45,Trump +45,republican,trumpd,45.4241,8954,47.5,alaska,2021-05-02T23:31:37.538010Z
