fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
48031,Blanco,7441,6450,7,7,Released as a precinct as first report of the night,100,7441,100%,100% reported,edison,10,all,,4204,,,5443,1911,72,15,0,4623,1758,58,11,0,2020-11-29T04:16:36Z,47.46674,R+47,Trump +47,republican,trumpd,47.46674,5685,52.2,4973,48.62,texas,2021-05-07T13:34:42.935524Z
48033,Borden,416,310,8,8,Released as a precinct as first report of the night,100,416,100%,100% reported,edison,10,unknown,,320,,,397,16,2,1,0,296,11,2,1,0,2021-02-22T20:01:02Z,91.58654,R+92,Trump +92,republican,trumpd,91.58654,365,81.9,363,80.44,texas,2021-05-07T13:34:42.935524Z
48035,Bosque,9126,6539,12,12,Released as a precinct as first report of the night,100,9126,100%,100% reported,edison,10,unknown,,4229,,,7469,1561,83,13,0,5277,1202,50,10,0,2021-02-22T20:01:12Z,64.73811,R+65,Trump +65,republican,trumpd,64.73811,7867,64.3,7356,61.42,texas,2021-05-07T13:34:42.935524Z
48037,Bowie,38261,30003,43,43,Released as a precinct as first report of the night,100,38261,100%,100% reported,edison,10,unknown,,32487,,,27116,10747,300,91,7,20567,9163,200,68,5,2021-02-22T20:01:25Z,42.78247,R+43,Trump +43,republican,trumpd,42.78247,34602,46.5,35404,41.44,texas,2021-05-07T13:34:42.935524Z
48039,Brazoria,154984,140355,67,67,Released as a precinct as first report of the night,100,154984,100%,100% reported,edison,10,unknown,,131649,,,90433,62228,1860,417,46,81290,57184,1498,345,38,2021-02-22T20:01:41Z,18.19865,R+18,Trump +18,republican,trumpd,18.19865,121181,24.4,106739,34.14,texas,2021-05-07T13:34:42.935524Z
48041,Brazos,85061,72113,99,99,Released as a precinct as first report of the night,100,85061,100%,100% reported,edison,10,unknown,,57474,,,47530,35349,1812,252,118,39914,30641,1303,163,92,2021-02-22T20:01:55Z,14.32031,R+14,Trump +14,republican,trumpd,14.32031,67211,23.2,55962,35.26,texas,2021-05-07T13:34:42.935524Z
48043,Brewster,4822,3978,9,9,Released as a precinct as first report of the night,100,4822,100%,100% reported,edison,10,unknown,,4467,,,2461,2258,89,14,0,1985,1916,68,9,0,2021-02-22T20:02:10Z,4.20987,R+4,Trump +4,republican,trumpd,4.20987,4252,4.8,3867,5.46,texas,2021-05-07T13:34:42.935524Z
48045,Briscoe,725,453,6,6,Released as a precinct as first report of the night,100,725,100%,100% reported,edison,10,unknown,,503,,,639,78,7,1,0,396,52,5,0,0,2021-02-22T20:02:24Z,77.37931,R+77,Trump +77,republican,trumpd,77.37931,736,72.6,702,65.67,texas,2021-05-07T13:34:42.935524Z
48047,Brooks,2484,1821,6,6,Released as a precinct as first report of the night,100,2484,100%,100% reported,edison,10,unknown,,1853,,,998,1470,10,6,0,650,1159,7,5,0,2021-02-22T20:02:31Z,19.00161,D+19,Biden +19,democrat,bidenj,-19.00161,2596,-51,2403,-57.39,texas,2021-05-07T13:34:42.935524Z
48049,Brown,15969,12572,19,19,Released as a precinct as first report of the night,100,15969,100%,100% reported,edison,10,unknown,,14372,,,13698,2107,134,24,6,10762,1708,82,15,5,2021-02-22T20:02:41Z,72.58438,R+73,Trump +73,republican,trumpd,72.58438,14026,74.1,13947,71.64,texas,2021-05-07T13:34:42.935524Z
