fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_hawkinsh,results_la_rivag,results_kennedya,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,results_absentee_hawkinsh,results_absentee_la_rivag,results_absentee_kennedya,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
53057,Skagit,73423,0,121,121,None,100,73423,100%,100% reported,edison,10,all,,,,,38252,32762,1492,486,287,90,54,0,0,0,0,0,0,0,2020-12-08T16:09:23Z,7.47722,D+7,Biden +7,democrat,bidenj,-7.47722,58059,-3.4,55269,-6.54,washington,2021-05-09T20:53:14.732363Z
53059,Skamania,7312,0,23,23,None,100,7312,100%,100% reported,edison,10,all,,,,,3192,3885,153,44,28,5,5,0,0,0,0,0,0,0,2020-12-08T16:09:29Z,9.47757,R+9,Trump +9,republican,trumpd,9.47757,5829,11.9,5466,1.08,washington,2021-05-09T20:53:14.732363Z
53061,Snohomish,438796,0,784,784,None,100,438796,100%,100% reported,edison,10,all,,,,,256728,166428,9690,3214,2003,485,248,0,0,0,0,0,0,0,2020-12-08T16:09:41Z,20.57904,D+21,Biden +21,democrat,bidenj,-20.57904,354734,-16.1,329817,-16.83,washington,2021-05-09T20:53:14.732363Z
53063,Spokane,295430,0,362,362,None,100,295430,100%,100% reported,edison,10,all,,,,,135765,148576,7147,2136,1297,310,199,0,0,0,0,0,0,0,2020-12-08T16:09:48Z,4.33639,R+4,Trump +4,republican,trumpd,4.33639,236050,8.3,223830,5.8,washington,2021-05-09T20:53:14.732363Z
53065,Stevens,28430,0,58,58,None,100,28430,100%,100% reported,edison,10,all,,,,,7839,19808,527,147,77,18,14,0,0,0,0,0,0,0,2020-12-08T16:09:58Z,42.09989,R+42,Trump +42,republican,trumpd,42.09989,23395,40.2,22161,26.75,washington,2021-05-09T20:53:14.732363Z
53067,Thurston,168134,0,284,284,None,100,168134,100%,100% reported,edison,10,all,,,,,96608,65277,3708,1169,979,282,111,0,0,0,0,0,0,0,2020-12-08T16:10:05Z,18.63454,D+19,Biden +19,democrat,bidenj,-18.63454,134191,-15,127063,-19.48,washington,2021-05-09T20:53:14.732363Z
53069,Wahkiakum,2981,0,11,11,None,100,2981,100%,100% reported,edison,10,all,,,,,1165,1741,45,9,19,0,2,0,0,0,0,0,0,0,2020-12-08T16:10:15Z,19.32238,R+19,Trump +19,republican,trumpd,19.32238,2429,21.1,2294,1.09,washington,2021-05-09T20:53:14.732363Z
53071,Walla Walla,31261,0,63,63,None,100,31261,100%,100% reported,edison,10,all,,,,,13690,16400,769,206,132,50,14,0,0,0,0,0,0,0,2020-12-08T16:10:22Z,8.66895,R+9,Trump +9,republican,trumpd,8.66895,26228,15.1,25108,19.44,washington,2021-05-09T20:53:14.732363Z
53073,Whatcom,138620,0,181,181,None,100,138620,100%,100% reported,edison,10,all,,,,,83660,50489,2490,960,726,206,89,0,0,0,0,0,0,0,2020-12-08T16:10:29Z,23.92945,D+24,Biden +24,democrat,bidenj,-23.92945,113339,-17.4,103029,-13.96,washington,2021-05-09T20:53:14.732363Z
53075,Whitman,21126,0,69,69,None,100,21126,100%,100% reported,edison,10,all,,,,,11184,9067,549,162,128,22,14,0,0,0,0,0,0,0,2020-12-08T16:10:36Z,10.02083,D+10,Biden +10,democrat,bidenj,-10.02083,18028,-4.1,17121,2.75,washington,2021-05-09T20:53:14.732363Z
53077,Yakima,96193,0,173,173,None,100,96193,100%,100% reported,edison,10,all,,,,,43179,50555,1425,480,321,154,79,0,0,0,0,0,0,0,2020-12-08T16:10:48Z,7.66792,R+8,Trump +8,republican,trumpd,7.66792,79741,13.1,76973,11.72,washington,2021-05-09T20:53:14.732363Z
