fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_la_rivag,results_de_la_fuenter,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_la_rivag,results_absentee_de_la_fuenter,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
06095,Solano,205831,0,348,348,Released as a separate subtotal as first report of the night,100,205831,100%,100% reported,edison,10,unknown,,140931,,,131639,69306,2475,958,628,825,,0,0,0,0,0,0,,2020-11-25T02:40:40Z,30.28358,D+30,Biden +30,democrat,bidenj,-30.28358,168150,-30,152444,-29.32,california,2020-12-31T11:36:45.374686Z
06097,Sonoma,268252,0,668,668,Released as a separate subtotal as first report of the night,100,268252,100%,100% reported,edison,10,unknown,,248885,,,199938,61825,3418,1499,740,832,0,0,0,0,0,0,0,0,2020-12-05T21:25:07Z,51.48629,D+51,Biden +51,democrat,bidenj,-51.48629,233303,-46.7,216508,-45.8,california,2020-12-31T11:36:45.374686Z
06099,Stanislaus,214876,137525,192,192,Released as a precinct as first report of the night,100,214876,100%,100% reported,edison,10,some,,171363,,,105841,104145,2494,742,728,926,,72651,62194,1341,440,392,507,,2020-11-24T13:23:24Z,0.78929,D+0.79,Biden +0.79,democrat,bidenj,-0.78929,174406,-1.8,155369,-2.75,california,2020-12-31T11:36:45.374686Z
06101,Sutter,42640,0,45,45,"Released as first report, then NOT included in cumulative results",100,42640,100%,100% reported,edison,10,all,,34061,,,17367,24375,521,136,115,126,,0,0,0,0,0,0,,2020-11-30T20:40:40Z,16.43527,R+16,Trump +16,republican,trumpd,16.43527,33824,15.1,31026,19.11,california,2020-12-31T11:36:45.374686Z
06103,Tehama,28721,0,46,46,Released as a separate subtotal as first report of the night,100,28721,100%,100% reported,edison,10,unknown,,24366,,,8911,19141,403,90,65,111,,0,0,0,0,0,0,,2020-12-01T17:40:41Z,35.61854,R+36,Trump +36,republican,trumpd,35.61854,23908,36.3,22977,27.42,california,2020-12-31T11:36:45.374686Z
06105,Trinity,6258,5048,25,25,None,100,6258,100%,100% reported,edison,10,unknown,,6488,,,2851,3188,117,50,25,27,0,2383,2513,86,30,13,23,0,2020-12-05T20:54:31Z,5.38511,R+5,Trump +5,republican,trumpd,5.38511,5784,10.3,5674,0.74,california,2020-12-31T11:36:45.374686Z
06107,Tulare,146832,81532,271,271,Released as a separate subtotal as first report of the night,100,146832,100%,100% reported,edison,10,unknown,,98048,,,66105,77579,1498,483,535,632,,39863,40156,676,264,268,305,,2020-11-26T03:48:15Z,7.81437,R+8,Trump +8,republican,trumpd,7.81437,114102,9.4,101100,15.04,california,2020-12-31T11:36:45.374686Z
06109,Tuolumne,30401,0,73,73,Other,100,30401,100%,100% reported,edison,10,unknown,,30744,,,11978,17689,439,145,59,91,,0,0,0,0,0,0,,2020-11-24T13:23:30Z,18.78557,R+19,Trump +19,republican,trumpd,18.78557,25893,21,24687,15.72,california,2020-12-31T11:36:45.374686Z
06111,Ventura,422698,0,695,695,Released as a separate subtotal as first report of the night,100,422698,100%,100% reported,edison,10,some,,263890,,,251388,162207,5069,1766,990,1278,,0,0,0,0,0,0,,2020-12-01T02:40:47Z,21.09804,D+21,Biden +21,democrat,bidenj,-21.09804,356107,-17.4,326974,-7.03,california,2020-12-31T11:36:45.374686Z
06113,Yolo,97264,0,58,58,Released as a separate subtotal as first report of the night,100,97264,100%,100% reported,edison,10,some,,66098,,,67598,27292,1206,547,323,298,,0,0,0,0,0,0,,2020-12-05T21:00:53Z,41.43979,D+41,Biden +41,democrat,bidenj,-41.43979,82090,-41.4,74475,-34.03,california,2020-12-31T11:36:45.374686Z
06115,Yuba,29787,15496,34,34,None,100,29787,100%,100% reported,edison,10,unknown,,18752,,,11230,17676,510,124,94,153,,7157,7960,199,71,40,69,,2020-12-05T21:00:45Z,21.64031,R+22,Trump +22,republican,trumpd,21.64031,22998,22.9,19700,18.09,california,2020-12-31T11:36:45.374686Z
