fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
13267,Tattnall,8187,6201,8,8,Other,100,8187,100%,100% reported,edison,10,all,,5459,,,2062,6054,69,2,1649,4517,35,0,2021-01-13T14:30:32Z,48.76023,R+49,Trump +49,republican,trumpd,48.76023,6930,49.3,6667,42.13,georgia,2021-05-04T17:41:56.389976Z
13269,Taylor,3842,3190,3,3,Released as a separate subtotal as first report of the night,100,3842,100%,100% reported,edison,10,all,,2794,,,1388,2420,34,0,1113,2056,21,0,2020-12-04T23:46:38Z,26.86101,R+27,Trump +27,republican,trumpd,26.86101,3408,22.5,3538,10.63,georgia,2021-05-04T17:41:56.389976Z
13271,Telfair,4335,3038,6,6,None,100,4335,100%,100% reported,edison,10,unknown,,2662,,,1488,2825,21,1,1163,1864,11,0,2021-03-07T03:09:06Z,30.84198,R+31,Trump +31,republican,trumpd,30.84198,3796,30,4336,15.57,georgia,2021-05-04T17:41:56.389976Z
13273,Terrell,4416,3168,6,6,Merged into voters' home precincts and released with cumulative results,100,4416,100%,100% reported,edison,10,unknown,,3389,,,2376,2004,36,0,1808,1339,21,0,2021-03-06T23:23:24Z,8.42391,D+8,Biden +8,democrat,bidenj,-8.42391,4204,-9.3,4398,-16.14,georgia,2021-05-04T17:41:56.389976Z
13275,Thomas,21877,17592,20,20,None,100,21877,100%,100% reported,edison,10,unknown,,17408,,,8708,12969,195,5,7231,10235,126,0,2021-01-13T16:52:47Z,19.47708,R+19,Trump +19,republican,trumpd,19.47708,18885,21.6,18953,18.48,georgia,2021-05-04T17:41:56.389976Z
13277,Tift,16280,12371,12,12,Released as a precinct as first report of the night,100,16280,100%,100% reported,edison,10,unknown,,12083,,,5318,10784,177,1,4196,8054,121,0,2021-03-07T03:09:17Z,33.57494,R+34,Trump +34,republican,trumpd,33.57494,14276,36.7,13927,32.49,georgia,2021-05-04T17:41:56.389976Z
13279,Toombs,10914,8489,5,5,Released as a precinct as first report of the night,100,10914,100%,100% reported,edison,10,unknown,,6590,,,2938,7873,103,0,2366,6069,54,0,2020-12-04T23:37:45Z,45.21715,R+45,Trump +45,republican,trumpd,45.21715,9138,46.8,9344,40.43,georgia,2021-05-04T17:41:56.389976Z
13281,Towns,7979,6851,3,3,None,100,7979,100%,100% reported,edison,10,unknown,,7256,,,1550,6384,45,0,1431,5392,28,0,2020-12-04T23:48:55Z,60.58403,R+61,Trump +61,republican,trumpd,60.58403,6800,61.4,6211,58.01,georgia,2021-05-04T17:41:56.389976Z
13283,Treutlen,3077,2526,2,2,Released with cumulative results periodically election night,100,3077,100%,100% reported,edison,10,unknown,,2098,,,952,2101,24,0,829,1683,14,0,2020-12-04T23:48:34Z,37.34157,R+37,Trump +37,republican,trumpd,37.34157,2703,35,2750,21.02,georgia,2021-05-04T17:41:56.389976Z
13285,Troup,30057,22358,14,14,None,100,30057,100%,100% reported,edison,10,unknown,,20235,,,11577,18142,328,10,8742,13427,189,0,2021-01-13T14:31:26Z,21.84183,R+22,Trump +22,republican,trumpd,21.84183,26111,23.1,25986,17.82,georgia,2021-05-04T17:41:56.389976Z
13287,Turner,3791,3075,3,3,None,100,3791,100%,100% reported,edison,10,unknown,,3227,,,1409,2349,33,0,1077,1971,27,0,2020-12-04T23:39:43Z,24.79557,R+25,Trump +25,republican,trumpd,24.79557,3405,24.9,3559,14.55,georgia,2021-05-04T17:41:56.389976Z
13289,Twiggs,4444,3158,5,5,Released as a precinct as first report of the night,100,4444,100%,100% reported,edison,10,unknown,,2886,,,2044,2370,30,0,1614,1529,15,0,2021-03-06T23:23:36Z,7.33573,R+7,Trump +7,republican,trumpd,7.33573,4059,1.6,4202,-8.64,georgia,2021-05-04T17:41:56.389976Z
13291,Union,15562,11800,11,11,Merged into voters' home precincts AFTER election night,100,15562,100%,100% reported,edison,10,unknown,,11110,,,2800,12650,108,4,2501,9240,59,0,2021-01-13T14:31:41Z,63.29521,R+63,Trump +63,republican,trumpd,63.29521,12063,65.4,11079,59.88,georgia,2021-05-04T17:41:56.389976Z
13293,Upson,12907,10861,4,4,None,100,12907,100%,100% reported,edison,10,unknown,,9845,,,4203,8606,96,2,3555,7238,68,0,2021-01-13T14:31:51Z,34.11327,R+34,Trump +34,republican,trumpd,34.11327,10934,34.9,11263,29.04,georgia,2021-05-04T17:41:56.389976Z
13295,Walker,29374,22955,11,11,Released as a precinct as first report of the night,100,29374,100%,100% reported,edison,10,unknown,,18011,,,5770,23173,411,20,4764,17937,254,0,2021-03-07T03:09:29Z,59.24627,R+59,Trump +59,republican,trumpd,59.24627,24379,60.4,21896,50.11,georgia,2021-05-04T17:41:56.389976Z
